date,game_no,vis,home,,temp,wind_speed,conditions,percip
5/8/1990,0,CHA,TOR,330010CHATOR,70,null,in dome,null
5/9/1990,0,BAL,ANA,330020BALCAL,null,null,night,no precipitation
5/9/1990,0,ATL,CHN,330020ATLCHN,65,10,cloudy,no precipitation
5/9/1990,0,PHI,HOU,330020PHIHOU,null,null,in dome,null
5/9/1990,0,DET,MIL,330020DETMIL,50,15,overcast,rain
5/9/1990,0,CLE,MIN,330020CLEMIN,48,null,null,null
5/9/1990,0,LAN,MON,330020LANMON,70,null,in dome,null
5/9/1990,0,SFN,NYN,330020SFNNYN,70,null,night,no precipitation
5/9/1990,0,NYA,OAK,330020NYAOAK,63,8,cloudy,null
5/9/1990,0,CIN,PIT,330020CINPIT,null,null,night,no precipitation
5/9/1990,0,BOS,SEA,330020BOSSEA,null,null,in dome,null
5/9/1990,0,SDN,SLN,330020SDNSLN,60,22,night,showers
5/9/1990,0,KCA,TEX,330020KCATEX,79,10,night,no precipitation
5/9/1990,0,CHA,TOR,330020CHATOR,70,null,in dome,null
5/10/1990,0,TOR,DET,330030TORDET,40,null,night,showers
5/10/1990,0,CLE,MIN,330030CLEMIN,null,null,in dome,null
5/10/1990,0,LAN,MON,330030LANMON,null,null,in dome,null
5/10/1990,0,CIN,PIT,330030CINPIT,null,null,night,no precipitation
5/10/1990,0,ANA,SEA,330030CALSEA,null,null,in dome,null
5/10/1990,0,SDN,SLN,330030SDNSLN,53,20,cloudy,no precipitation
5/10/1990,0,KCA,TEX,330030KCATEX,72,10,night,no precipitation
5/11/1990,0,BOS,ANA,330040BOSCAL,64,null,night,no precipitation
5/11/1990,0,KCA,CHA,330040KCACHA,53,12,night,no precipitation
5/11/1990,0,CHN,CIN,330040CHNCIN,62,null,night,no precipitation
5/11/1990,0,TOR,DET,330040TORDET,null,null,night,no precipitation
5/11/1990,0,MIL,MIN,330040MILMIN,null,null,in dome,null
5/11/1990,0,LAN,NYN,330040LANNYN,null,null,night,no precipitation
5/11/1990,0,BAL,OAK,330040BALOAK,58,10,night,no precipitation
5/11/1990,0,SFN,PHI,330040SFNPHI,65,null,night,no precipitation
5/11/1990,0,HOU,PIT,330040HOUPIT,60,null,night,no precipitation
5/11/1990,0,MON,SDN,330040MONSDN,70,0,night,no precipitation
5/11/1990,0,NYA,SEA,330040NYASEA,null,null,in dome,null
5/11/1990,0,ATL,SLN,330040ATLSLN,64,10,night,drizzle
5/11/1990,0,CLE,TEX,330040CLETEX,81,18,night,rain
5/12/1990,0,BOS,ANA,330050BOSCAL,63,null,night,no precipitation
